brand,title,rating,rating_count,price,recent_sales,unit_price
Sensodyne,"Sensodyne Extra Whitening Sensitive Teeth and Cavity Prevention Whitening Toothpaste, Amazon Exclusive, Cool Mint -4 Ounces (Pack of 3)",4.8,6827,$18.72,70000,$1.56
Sensodyne,"Sensodyne Extra Whitening Sensitive Teeth and Cavity Prevention Whitening Toothpaste, Amazon Exclusive, Cool Mint -4 Ounces (Pack of 3)",4.8,6827,$18.72,70000,$1.56
Sensodyne,"Sensodyne Extra Whitening Sensitive Teeth and Cavity Prevention Whitening Toothpaste, Amazon Exclusive, Cool Mint -4 Ounces (Pack of 3)",4.8,6827,$18.72,70000,$1.56
Sensodyne,"Sensodyne Extra Whitening Sensitive Teeth and Cavity Prevention Whitening Toothpaste, Amazon Exclusive, Cool Mint -4 Ounces (Pack of 3)",4.8,6827,$18.72,70000,$1.56
Sensodyne,"Sensodyne Extra Whitening Sensitive Teeth and Cavity Prevention Whitening Toothpaste, Amazon Exclusive, Cool Mint -4 Ounces (Pack of 3)",4.8,6827,$18.72,70000,$1.56
Sensodyne,"Sensodyne Pronamel Fresh Breath Enamel Toothpaste for Sensitive Teeth and Cavity Protection, Fresh Wave - 4 oz (4 Pack)",4.8,6641,$24.33,10000,$1.52
Sensodyne,"Sensodyne Pronamel Fresh Breath Enamel Toothpaste for Sensitive Teeth and Cavity Protection, Fresh Wave - 4 oz (4 Pack)",4.8,6641,$24.33,10000,$1.52
Sensodyne,"Sensodyne Pronamel Fresh Breath Enamel Toothpaste for Sensitive Teeth and Cavity Protection, Fresh Wave - 4 oz (4 Pack)",4.8,6641,$24.33,10000,$1.52
Sensodyne,"Sensodyne Pronamel Fresh Breath Enamel Toothpaste for Sensitive Teeth and Cavity Protection, Fresh Wave - 4 oz (4 Pack)",4.8,6641,$24.33,10000,$1.52
Sensodyne,"Sensodyne Pronamel Gentle Teeth Whitening Enamel Toothpaste for Sensitive Teeth, to Reharden and Strengthen Enamel, Amazon Exclusive, Fresh Mint - 4 Ounces (Pack of 3)",4.8,7321,$17.47,100000,$1.46
Sensodyne,"Sensodyne Pronamel Gentle Teeth Whitening Enamel Toothpaste for Sensitive Teeth, to Reharden and Strengthen Enamel, Amazon Exclusive, Fresh Mint - 4 Ounces (Pack of 3)",4.8,7321,$17.47,100000,$1.46
Sensodyne,"Sensodyne Pronamel Gentle Teeth Whitening Enamel Toothpaste for Sensitive Teeth, to Reharden and Strengthen Enamel, Amazon Exclusive, Fresh Mint - 4 Ounces (Pack of 3)",4.8,7321,$17.47,100000,$1.46
Sensodyne,"Sensodyne Pronamel Gentle Teeth Whitening Enamel Toothpaste for Sensitive Teeth, to Reharden and Strengthen Enamel, Amazon Exclusive, Fresh Mint - 4 Ounces (Pack of 3)",4.8,7321,$17.47,100000,$1.46
Sensodyne,"Sensodyne Pronamel Gentle Teeth Whitening Enamel Toothpaste for Sensitive Teeth, to Reharden and Strengthen Enamel, Amazon Exclusive, Fresh Mint - 4 Ounces (Pack of 3)",4.8,7321,$17.47,100000,$1.46
Sensodyne,"Sensodyne Pronamel Intensive Enamel Repair Toothpaste for Sensitive Teeth and Cavity Protection, Whitening Toothpaste to Strengthen Enamel, Arctic Breeze - 3.4 Ounces (Pack of 4)",4.8,6851,$20.99,20000,$1.54
Sensodyne,"Sensodyne Pronamel Intensive Enamel Repair Toothpaste for Sensitive Teeth and Cavity Protection, Whitening Toothpaste to Strengthen Enamel, Arctic Breeze - 3.4 Ounces (Pack of 4)",4.8,6851,$20.99,20000,$1.54
Sensodyne,"Sensodyne Pronamel Intensive Enamel Repair Toothpaste for Sensitive Teeth and Cavity Protection, Whitening Toothpaste to Strengthen Enamel, Arctic Breeze - 3.4 Ounces (Pack of 4)",4.8,6851,$20.99,20000,$1.54
Sensodyne,"Sensodyne Pronamel Intensive Enamel Repair Toothpaste for Sensitive Teeth, to Reharden and Strengthen Enamel, Extra Fresh - 3.4 Ounces",4.7,50046,$6.98,30000,$2.05
Sensodyne,"Sensodyne Pronamel Intensive Enamel Repair Toothpaste for Sensitive Teeth, to Reharden and Strengthen Enamel, Extra Fresh - 3.4 Ounces (Pack of 3)",4.7,50046,$18.72,3000,$1.84
